date,close,volume,open,high,low
16:00,174.24,"28,239,591",174.8,175.57,172.8531
11/6/18,203.77,31774720,201.92,204.72,201.69
11/7/18,209.95,33291640,205.97,210.06,204.13
11/8/18,208.49,25289270,209.98,210.12,206.75
11/9/18,204.47,34317760,205.55,206.01,202.25
11/12/18,194.17,50991030,199,199.85,193.79
11/13/18,192.23,46725710,191.63,197.18,191.4501
11/14/18,186.8,60547340,193.9,194.48,185.93
11/15/18,191.41,46271660,188.39,191.97,186.9
11/16/18,193.53,36191330,190.5,194.9695,189.46
11/19/18,185.86,41626820,190,190.7,184.99
11/20/18,176.98,67678680,178.37,181.47,175.51
11/21/18,176.78,31096240,179.73,180.27,176.55
11/23/18,172.29,23623970,174.94,176.595,172.1
11/26/18,174.62,44662320,174.24,174.95,170.26
11/27/18,174.24,41156140,171.51,174.77,170.88
11/28/18,180.94,45941750,176.73,181.29,174.93
11/29/18,179.55,41523580,182.66,182.8,177.7
11/30/18,178.58,39424260,180.29,180.33,177.03
12/3/18,184.82,40537700,184.46,184.94,181.21
12/4/18,176.69,41141250,180.95,182.3899,176.27
12/6/18,174.72,42704910,171.76,174.78,170.42
12/7/18,168.49,41678680,173.49,174.49,168.3
12/10/18,169.6,61759000,165,170.09,163.33
12/11/18,168.63,45968040,171.66,171.79,167
12/12/18,169.1,35474680,170.4,171.92,169.02
12/13/18,170.95,31754210,170.49,172.57,169.55
12/14/18,165.48,40620360,169,169.08,165.28
12/17/18,163.94,43250420,165.45,168.35,162.73
12/18/18,166.07,33753490,165.38,167.53,164.39
12/19/18,160.89,47597670,166,167.45,159.09
12/20/18,156.83,64398230,160.4,162.11,155.3
12/21/18,150.73,95497900,156.86,158.16,149.63
12/24/18,146.83,37169230,148.15,151.55,146.59
12/26/18,157.17,58133850,148.3,157.23,146.72
12/27/18,156.15,51608850,155.84,156.77,150.07
12/28/18,156.23,41740600,157.5,158.52,154.55
12/31/18,157.74,34499390,158.53,159.36,156.48
1/2/19,157.92,35637070,154.89,158.85,154.23
1/3/19,142.19,91106840,143.98,145.72,142
1/4/19,148.26,57423650,144.53,148.5499,143.8
1/7/19,147.93,54571440,148.7,148.83,145.9
1/8/19,150.75,40622910,149.56,151.82,148.52
1/9/19,153.31,45034370,151.29,154.53,149.63
1/10/19,153.8,35661200,152.5,153.97,150.86
1/11/19,152.29,26924630,152.88,153.7,151.51
1/14/19,150,32018540,150.85,151.27,149.22
1/15/19,153.07,28449940,150.27,153.39,150.05
1/16/19,154.94,30483120,153.08,155.88,153
1/17/19,155.86,29616190,154.2,157.66,153.26
1/18/19,156.82,33259460,157.5,157.88,155.9806
1/22/19,153.3,30273990,156.41,156.73,152.62
1/23/19,153.92,23046560,154.15,155.14,151.7
1/24/19,152.7,25418110,154.11,154.48,151.74
1/25/19,157.76,33508960,155.48,158.13,154.32
1/28/19,156.3,26147280,155.79,156.33,153.66
1/29/19,154.68,39914850,156.25,158.13,154.11
1/30/19,165.25,60800480,163.25,166.15,160.23
1/31/19,166.44,40613260,166.11,169,164.56
2/1/19,166.52,32644590,166.96,168.98,165.93
2/4/19,171.25,31384720,167.41,171.655,167.28
2/5/19,174.18,36054570,172.86,175.08,172.3501
2/6/19,174.24,28204640,174.65,175.57,172.8531
2/7/19,172.4,18260453,172.4,0,0